,CSScode,Connections,Decent_Home,Employment,Environment,Finance_Secure,Healthy,PriceDiff,Safety
0,E09000002,-1.536736262,-1.034815704,-1.599495377,-0.101198872,-1.380169613,-0.596595911,1.868030551,-0.397137952
1,E09000003,-0.183280472,-0.595689571,-0.272373775,-0.141552317,-0.604770738,0.847509168,-0.33466568,1.418349828
2,E09000004,-1.987888192,-0.595689571,-0.505516759,-0.413938067,0.655252435,-0.047835981,1.504320042,1.055252272
3,E09000005,-0.634432402,0.312503115,-1.778836134,0.28215885,-0.443229305,1.338504895,0.531700926,-0.034040396
4,E09000006,-1.987888192,-1.054775983,0.821604843,-1.241183679,1.301418165,-0.827652723,0.482661307,1.055252272
5,E09000007,0.719023389,1.89934528,0.678132238,0.847107073,0.622944149,-0.741006418,0.429535053,-1.48643062
6,E09000008,0.042295493,0.512105903,-0.236505623,-0.837649234,-0.540154165,-0.741006418,-0.171200283,-0.034040396
7,E09000009,0.267871458,-0.296285388,-1.061473106,0.040038183,0.590635862,-0.943181129,-0.338752315,0.32905716
8,E09000010,-1.311160297,0.332463394,-2.04784727,-1.291625485,0.396786143,-1.260884247,0.306936005,0.32905716
9,E09000011,0.493447424,0.581966879,0.229780345,1.290994962,-1.606327618,-0.654360114,-0.326492411,-0.397137952
10,E09000012,0.493447424,0.362403812,-0.093033018,1.876119907,-0.604770738,-1.578587364,-0.261106252,-1.123333064
11,E09000013,1.170175319,-1.424041141,0.803670768,0.453660989,1.172185019,-0.452185403,-1.899846862,-0.397137952
12,E09000014,-1.536736262,-2.302293408,-0.613121213,-0.807384151,-0.2170713,0.067692426,-0.416398379,-1.123333064
13,E09000015,-0.634432402,-0.126623019,-0.79246197,-0.767030706,0.849102154,1.569561707,-0.412311744,1.418349828
14,E09000016,-1.085584332,0.751629249,0.193912194,-1.412685818,1.559884457,0.298749238,1.93341671,0.692154716
15,E09000017,-1.085584332,-0.43600734,-0.272373775,-0.70650054,-0.087838154,0.038810324,-0.293799331,0.32905716
16,E09000018,-0.634432402,0.232662,-0.989736803,0.393130822,-1.218628181,-0.972063231,-0.436831554,-0.034040396
17,E09000019,0.719023389,-0.44598748,1.485165645,0.625163128,-0.12014644,0.356513441,0.167990417,-0.760235508
18,E09000020,0.944599354,-1.733425462,1.162352282,-0.040668706,1.269109878,-0.972063231,0.915844611,-0.397137952
19,E09000021,0.493447424,0.621887436,0.749868541,-0.938532845,1.818350749,0.443159746,0.748292578,0.692154716
20,E09000022,0.719023389,0.542046321,0.516725556,0.806753628,0.396786143,-0.712124317,-0.588037047,-1.123333064
21,E09000023,0.944599354,1.130874546,0.122175891,0.161098517,0.558327576,-0.336656996,0.290589465,-0.397137952
22,E09000024,0.719023389,0.322483254,0.355318875,-0.605616928,0.493711003,0.587570254,0.184336957,1.055252272
23,E09000025,0.944599354,-0.016841485,-1.599495377,1.210288073,-0.637079024,-1.607469466,-0.338752315,-0.397137952
24,E09000026,-0.860008367,0.72168883,-0.362044153,-1.402597457,-1.057086748,0.15433873,2.064189028,0.692154716
25,E09000027,1.170175319,1.430278728,1.807979008,-1.372332374,-0.184763013,2.580435262,-0.841408413,1.418349828
26,E09000028,1.395751284,1.89934528,0.355318875,1.825678101,-0.507845878,0.125456629,-1.086606509,-0.760235508
27,E09000029,0.042295493,0.212701721,0.283582572,-0.000315261,1.398343024,1.425151199,0.584827181,1.055252272
28,E09000030,0.944599354,-0.595689571,0.534659632,2.430979768,-1.121703321,-0.683242215,-1.307284796,-0.397137952
29,E09000031,-0.634432402,0.831470364,-0.9180005,-0.787207429,-1.444786186,1.020801777,0.874978261,0.32905716
30,E09000032,0.944599354,-0.0966826,1.825913083,0.070303267,0.687560722,1.685090114,-1.68325521,0.692154716
31,E09000033,0.944599354,-1.94300839,1.216154509,0.5545446,-1.994027056,0.587570254,-2.059225624,-3.3019184
32,E09000002,-2.03591937,-0.657020677,-1.864966193,-0.695339763,-1.96222517,-1.502219619,1.405249411,-0.41469811
33,E09000003,-0.091160569,-0.125898602,-0.319078002,-0.207041316,-0.300919392,-1.502219619,-0.474240476,1.059784058
34,E09000004,-2.03591937,-1.317684722,0.100792864,-0.240334392,0.560498419,-0.549207989,-0.208416209,1.059784058
35,E09000005,-0.577350269,1.221337882,-1.406925248,0.381136359,-1.316161812,1.384845025,-0.91603292,-0.046077568
36,E09000006,0.395029132,0.340452489,1.074129873,-0.983879755,1.268091621,-0.212850943,-0.062400063,1.059784058
37,E09000007,0.638123982,-0.372028344,0.826024361,0.214670979,0.622028263,-0.156791435,0.768768772,-1.151939194
38,E09000008,-0.091160569,0.107276944,-0.032802411,-0.850707451,-0.393214157,-0.212850943,0.038688039,-0.046077568
39,E09000009,-0.334255419,-1.771081616,-1.00613942,0.392234051,1.145031934,-0.493148481,-0.047424048,0.322542974
40,E09000010,-1.79282452,0.327498292,-1.712285878,-1.405592051,0.375908888,-1.390100604,0.207168208,0.691163516
41,E09000011,0.151934281,0.366360883,0.138962943,1.11358403,-0.977747672,-0.549207989,1.468897475,-0.41469811
42,E09000012,0.395029132,-0.553387101,-0.204567766,1.490905558,0.222084279,-0.268910451,1.749697757,-0.783318652
43,E09000013,-0.334255419,-1.019738192,1.589425937,0.691871735,1.575740839,1.188636748,0.360672362,-0.783318652
44,E09000014,-1.79282452,-0.916104616,-0.834374066,-1.194735903,-0.700863375,-1.221922081,0.218400219,-0.783318652
45,E09000015,-0.577350269,0.340452489,-0.242737845,-0.218139008,1.329621465,0.768190441,-1.136929142,1.428404601
46,E09000016,-1.30663482,0.392269277,-0.109142569,-1.449982818,1.606505761,-0.128761682,-0.152256153,0.691163516
47,E09000017,-1.06353997,-1.214051147,-0.70077879,-0.218139008,0.252849201,0.768190441,-0.021216021,0.322542974
48,E09000018,-0.091160569,0.055460156,-1.082479578,0.680774043,-0.885452906,0.571982164,1.36406537,-0.046077568
49,E09000019,0.881218832,0.599536428,1.303150346,0.026010216,0.314379045,0.796220195,-0.403104405,-0.783318652
50,E09000020,1.610503382,-1.317684722,1.016874755,-0.506679,-0.116329861,-1.165862573,-3.420771435,-0.41469811
51,E09000021,0.881218832,1.907910321,0.845109401,-0.895098219,2.006449745,1.020458225,-0.257088258,0.322542974
52,E09000022,1.124313682,0.107276944,0.291643258,-0.06277132,0.498968576,-1.334041096,0.420576422,-0.783318652
53,E09000023,0.638123982,0.029551762,-0.299992963,0.159182519,0.314379045,-0.549207989,0.413088415,-0.41469811
54,E09000024,0.881218832,1.558147003,-0.051887451,-0.817414375,-1.500751343,1.328785517,0.064896065,1.059784058
55,E09000025,0.881218832,-0.268394768,-1.884051233,0.936020958,-0.485508922,-0.801475774,1.562497569,-0.41469811
56,E09000026,-0.091160569,1.324971458,-0.319078002,-0.462288232,-1.193102124,-0.381029466,-0.710112713,0.691163516
57,E09000027,0.638123982,1.519284412,1.627596016,-1.205833595,0.314379045,1.104547487,0.525408528,1.428404601
58,E09000028,1.124313682,-0.657020677,0.654259007,2.090180925,-0.762393219,-0.885565035,0.274560276,-0.783318652
59,E09000029,0.395029132,1.389742443,0.062622786,0.159182519,1.021972247,1.468934287,-0.298272299,1.059784058
60,E09000030,0.881218832,-2.09493654,1.035959795,2.977996284,-1.346926733,1.917410348,-0.163488164,-0.41469811
61,E09000031,-1.06353997,0.780895186,-0.948884302,-1.061563599,-0.670098453,-0.885565035,-0.549120551,0.322542974
62,E09000032,1.124313682,0.690215807,1.608510976,0.514308663,0.099024592,1.188636748,0.102336103,0.691163516
63,E09000033,0.638123982,-0.77360845,0.845109401,0.647480967,-0.916217828,0.684101179,-2.166530175,-3.732282988
64,E09000002,-3.613706922,-0.095652096,-2.304341076,-0.512158947,-1.230090006,-2.151245976,-0.51624468,-0.495523798
65,E09000003,0.6392021,0.424340764,-0.499896923,-0.101576409,-0.749746574,-0.137313573,-0.819907347,1.266338594
66,E09000004,-0.575914763,-1.005639599,-0.682368804,-0.934146556,0.514315089,0.385785753,-0.212582012,0.561593637
67,E09000005,0.234163146,0.377068685,-1.452805633,0.080904719,-0.825590274,1.118124808,-0.058612209,0.209221159
68,E09000006,-0.575914763,0.861607486,0.959878122,-1.105222613,1.424439486,0.621180449,-1.64963351,0.913966116
69,E09000007,0.031643668,-2.577436196,0.574659707,0.411651763,0.691283722,-0.895807595,-2.286897418,-0.847896276
70,E09000008,0.234163146,0.211616412,-0.499896923,-0.557779229,-0.294684375,0.725800314,0.236496581,-0.143151319
71,E09000009,0.234163146,-2.187441551,-0.560720883,-0.078766268,0.615440022,0.150391056,-0.529075497,0.209221159
72,E09000010,-0.980953718,0.329796607,-1.49335494,-1.299108812,-0.016590809,-2.805120133,-0.871230615,0.209221159
73,E09000011,-0.778434241,0.329796607,-0.560720883,1.746045012,-0.901433973,0.438095685,-1.067969808,-0.495523798
74,E09000012,-0.373395286,0.459794822,-0.033579895,1.392487827,0.413190156,-0.634257932,1.58373236,-0.847896276
75,E09000013,0.436682623,-0.47382872,1.628941684,0.297601058,1.348595787,0.673490382,-0.747199385,-0.495523798
76,E09000014,-0.575914763,0.672519174,-0.966213951,-1.219273318,-1.634589738,0.778110247,0.11674229,-0.495523798
77,E09000015,0.031643668,1.49978054,-0.195777122,-0.591994441,1.424439486,-0.111158607,-0.879784493,1.266338594
78,E09000016,-2.196070581,0.306160568,0.250265253,-1.219273318,1.146345921,1.45813937,-0.34516712,0.561593637
79,E09000017,-0.778434241,-1.371998204,-0.236326429,-0.534969088,0.160377823,-0.320398337,-0.567567947,0.209221159
80,E09000018,0.234163146,-0.698371091,-0.60127019,-0.010335845,-2.620557835,0.935040044,0.014095754,0.209221159
81,E09000019,1.044241055,-1.537450478,1.24372327,1.301247262,0.944096055,0.098081124,1.006345598,-0.847896276
82,E09000020,1.044241055,-0.213832291,0.939603469,-0.443728524,0.590158789,-0.346553303,1.908779723,-0.495523798
83,E09000021,0.841721577,0.967969662,0.838230202,-0.79728571,1.475001953,0.411940719,-1.055138991,0.561593637
84,E09000022,0.841721577,-0.154742193,0.899054162,0.514297398,0.337346456,-0.163468539,0.933637635,-0.847896276
85,E09000023,0.6392021,0.211616412,-0.094403855,-0.044551057,0.033971657,-0.058848674,0.681298235,-0.495523798
86,E09000024,1.044241055,1.192512033,-0.297150389,-0.671829934,-1.609308505,1.118124808,0.813883344,0.913966116
87,E09000025,0.234163146,-0.580190896,-1.270333752,0.879259654,-0.218840675,-1.654301617,-0.024396697,-0.143151319
88,E09000026,-1.385992672,1.086149857,-0.439072963,-0.614804582,-0.673902874,-0.111158607,0.377635568,0.913966116
89,E09000027,0.841721577,1.866139146,1.892512178,-1.02538712,0.716564955,1.45813937,1.318562144,1.618711073
90,E09000028,0.6392021,-1.395634243,0.148891986,1.118766134,-0.193559442,-0.268088404,-0.079996904,-0.495523798
91,E09000029,0.841721577,0.637065115,-0.195777122,-0.34108289,0.893533588,-0.241933438,-0.379382632,0.913966116
92,E09000030,0.031643668,-0.213832291,0.35163852,3.262919389,-1.154246306,0.75195528,1.887395028,-0.495523798
93,E09000031,0.436682623,0.329796607,-0.60127019,-0.227032185,-0.926715207,-1.758921482,1.489639703,0.561593637
94,E09000032,0.436682623,0.412522744,1.872237525,0.229170635,-0.041872043,1.039659909,0.736898442,0.561593637
95,E09000033,0.841721577,0.329796607,1.385645843,1.095955993,0.36262769,-0.503483101,-1.174893283,-4.019248582
96,E09000002,-2.810368717,0.294496562,-1.855792199,-0.548681851,-0.790525963,-0.42424001,0.55170861,-0.900913289
97,E09000003,0.459878517,0.914752592,-0.026813728,-0.50627166,-0.875916109,0.166006961,0.180438796,1.195757638
98,E09000004,-0.357683291,-1.436217843,-0.410673407,-0.919771026,0.340893474,1.051377417,1.294248238,0.671589906
99,E09000005,0.459878517,-0.105668618,-1.833212218,1.084110517,-0.918611182,-0.202897396,0.565459344,-0.376745557
100,E09000006,1.277440326,0.644641095,0.492525838,-1.184834722,1.280185082,1.125158288,1.1567409,1.195757638
101,E09000007,-1.1752451,-2.206535815,1.079605347,0.108676115,0.362241011,-2.022825557,-1.334892074,-0.376745557
102,E09000008,-1.584026004,0.204459397,-0.230033558,-0.113977389,-0.363575232,1.494062645,0.700216536,-0.900913289
103,E09000009,0.051097613,-2.086486261,-0.907432991,0.500970386,0.639758986,-0.768550744,0.526957289,0.147422175
104,E09000010,-0.766464195,0.214463526,-1.629992387,-1.163629626,0.084723036,-2.391729914,1.321749706,-0.376745557
105,E09000011,0.459878517,-0.045643841,0.018346235,0.522175481,-0.854568572,0.879222051,-0.573101419,-0.900913289
106,E09000012,0.459878517,-0.205709913,-1.020332897,1.508212431,0.533021303,-1.875263814,-0.779362426,-0.900913289
107,E09000013,0.868659422,-1.536259138,1.395725083,0.511572934,0.49032623,1.420281774,0.031930871,-0.376745557
108,E09000014,0.051097613,0.584616318,-1.47193252,-0.686514973,-2.050030619,0.387349575,-0.490597016,-0.900913289
109,E09000015,0.051097613,1.244888866,-0.591313256,-0.421451277,1.130752326,0.48572407,1.145740313,1.71992537
110,E09000016,-0.766464195,0.124426361,-0.162293614,-1.428693322,0.831886815,1.051377417,0.826723287,1.195757638
111,E09000017,1.277440326,-0.815961813,0.289306008,-0.887963382,0.55436884,-1.309610467,0.537957876,0.147422175
112,E09000018,-1.584026004,-0.615879223,-0.952592954,-0.124579937,-2.541023959,0.534911317,-0.193581164,-0.376745557
113,E09000019,0.459878517,-1.956432577,1.282825178,1.338571666,1.04536218,-0.891518862,-0.130327789,-0.376745557
114,E09000020,-0.357683291,1.795115989,0.876385517,-0.20940032,0.533021303,-0.252084644,-1.714412328,-0.376745557
115,E09000021,1.277440326,0.5445998,0.424785895,-0.877360834,1.173447399,0.756253932,0.166688062,1.195757638
116,E09000022,1.277440326,-0.155689265,0.786065593,0.373739812,-0.06470972,0.116819713,-1.208385322,-0.900913289
117,E09000023,0.459878517,0.524591541,-0.184873595,-0.65470733,-0.61974567,-1.1374551,-0.133077935,-0.376745557
118,E09000024,-0.357683291,1.004789758,0.108666159,-0.124579937,-2.284853521,0.092226089,0.403200685,1.195757638
119,E09000025,-0.766464195,-1.006040274,-1.178392765,1.190135996,-0.577050597,0.510317694,0.331696869,-0.376745557
120,E09000026,0.051097613,0.364525469,-1.020332897,-1.100014339,0.362241011,-0.522614506,1.52251042,0.671589906
121,E09000027,1.277440326,1.56502101,1.621524894,-0.824348095,1.429617838,0.953002922,0.084183659,1.71992537
122,E09000028,0.459878517,0.684657613,0.92154548,1.349174213,0.148765645,-0.571801753,-1.318391193,-0.900913289
123,E09000029,0.051097613,0.614628707,0.582845763,-0.559284399,0.959972034,0.608692189,0.972481066,1.195757638
124,E09000030,-1.1752451,-0.205709913,0.628005725,3.23642773,-0.726483353,-0.670176248,-2.382697993,-0.376745557
125,E09000031,1.277440326,0.224467656,0.311885989,-0.527476755,-0.256837549,0.436536822,1.085237084,0.147422175
126,E09000032,0.868659422,0.854727815,1.463465027,0.405547455,0.191460718,1.174345536,-1.615407044,0.671589906
127,E09000033,-1.1752451,-0.025635582,1.192505253,0.734226438,0.831886815,-0.202897396,-1.524652201,-2.997584216
128,E09000002,-3.12863381,1.28410454,-0.52934121,-0.294411857,0.106853686,-0.431581096,2.362734484,-0.390731243
129,E09000003,0.749109504,0.512617184,0.27488045,-1.025171598,-1.109836132,-1.301837771,0.606737349,0.960987652
130,E09000004,-2.423589571,-0.808554912,0.27488045,-1.025171598,0.148808507,-1.150488784,1.802947921,0.623057928
131,E09000005,0.044065265,-0.123859884,-2.514763433,0.874803728,-0.459536402,-0.393743849,-0.036350787,-0.052801519
132,E09000006,-0.660978974,0.801924943,0.626727426,-1.148838631,1.449407967,0.249489346,0.893294756,0.960987652
133,E09000007,0.749109504,-2.091152641,1.028838256,0.672439492,0.58933413,-0.999139797,-1.402496566,-0.728660967
134,E09000008,-0.308456854,0.001506811,-0.177494234,-0.699140329,-0.186830064,-0.015371381,0.660050355,-0.390731243
135,E09000009,-0.308456854,-2.428678359,-0.755528552,-0.080805164,0.715198594,1.460281242,-0.709427488,0.285128205
136,E09000010,-0.308456854,0.040081179,-1.534618285,-1.56480956,-0.354649349,-1.112651537,0.350168507,-0.052801519
137,E09000011,-0.660978974,0.204022242,-0.278021941,0.706166865,-1.256678007,-1.528861251,-0.019690472,-0.728660967
138,E09000012,1.101631623,0.483686408,-0.026702672,1.257047284,0.190763328,-0.696441823,0.320179941,-0.728660967
139,E09000013,0.044065265,-1.44503198,1.430949086,-0.058320249,-0.585400866,-0.355906602,-2.285493228,-0.390731243
140,E09000014,-0.660978974,1.139450661,-1.031979747,0.031619412,-2.137729254,-0.923465303,-0.879362694,-0.390731243
141,E09000015,-0.660978974,1.043014741,-0.93145204,-0.935231937,0.924972701,1.498118488,0.686706858,1.298917376
142,E09000016,-1.013501093,0.416181265,0.852914768,-1.092626343,1.008882344,0.590024566,1.596360023,0.623057928
143,E09000017,0.044065265,-1.165367814,0.350276231,-0.530503465,0.945950112,0.022465865,0.230214244,0.623057928
144,E09000018,0.749109504,-0.480672786,-0.705264698,0.17777136,-2.725096752,-1.07481429,-0.692767173,0.285128205
145,E09000019,0.396587384,-0.046711148,1.506344867,0.81859144,1.029859754,-0.431581096,-1.08261853,-0.728660967
146,E09000020,0.749109504,0.88871727,0.400540085,0.17777136,1.260611271,-1.264000524,1.359783559,-0.390731243
147,E09000021,1.101631623,-0.008136781,-0.453945429,-0.710382786,0.820085648,0.854885294,0.1802333,0.623057928
148,E09000022,-0.308456854,0.358319713,0.878046695,0.054104327,-0.983971668,1.157583268,-1.362511811,-1.066590691
149,E09000023,0.749109504,0.367963305,0.224616596,0.13280153,-1.151790954,1.498118488,-0.8160535,-0.052801519
150,E09000024,0.396587384,0.98515319,-0.956583967,-0.148259909,-0.71126533,1.498118488,-0.929343637,0.960987652
151,E09000025,-0.308456854,-1.049644711,-1.760805627,1.560593638,-0.858107204,1.460281242,0.226882181,-0.390731243
152,E09000026,1.101631623,-0.422811234,-1.031979747,-1.306233036,0.400537435,0.89272254,-0.099659981,0.623057928
153,E09000027,1.806675862,1.544481522,1.456081013,-1.070141428,1.071814575,1.233257761,0.073607288,1.6368471
154,E09000028,-0.308456854,-1.637903819,0.400540085,1.020955676,0.274672971,-0.507255589,-0.122984421,-0.390731243
155,E09000029,-0.308456854,0.609053104,-0.353417722,-0.519261008,0.90399529,-0.885628057,1.213172792,0.960987652
156,E09000030,-0.660978974,-0.162434252,0.6015955,3.20199244,-0.564423455,1.233257761,-1.125935347,-0.390731243
157,E09000031,0.396587384,0.609053104,-0.102098453,-0.305654315,-0.291717117,-1.036977044,0.206889803,0.623057928
158,E09000032,1.454153742,1.448045603,1.632004501,0.908531101,0.631288952,-0.015371381,-0.939339826,0.285128205
159,E09000033,0.396587384,-0.866416464,1.204761745,0.919773558,0.90399529,0.476512826,-0.35289676,-4.107958206
